"filename", "language", "TypeScript", "HTML", "CSS", "comment", "blank", "total"
"d:\FIXXUP\Angular-FIXXP-\src\app\society-security-guard\society-security-guard.component.ts", "TypeScript", 180, 0, 0, 0, 17, 197
"d:\FIXXUP\Angular-FIXXP-\src\app\society-ticket-workers\society-ticket-workers.component.css", "CSS", 0, 0, 176, 867, 16, 1059
"d:\FIXXUP\Angular-FIXXP-\src\app\society-ticket-workers\society-ticket-workers.component.html", "HTML", 0, 552, 0, 21, 36, 609
"d:\FIXXUP\Angular-FIXXP-\src\app\society-ticket-workers\society-ticket-workers.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"d:\FIXXUP\Angular-FIXXP-\src\app\society-ticket-workers\society-ticket-workers.component.ts", "TypeScript", 158, 0, 0, 0, 14, 172
"d:\FIXXUP\Angular-FIXXP-\src\app\society-upload-logo\society-upload-logo.component.css", "CSS", 0, 0, 212, 41, 54, 307
"d:\FIXXUP\Angular-FIXXP-\src\app\society-upload-logo\society-upload-logo.component.html", "HTML", 0, 40, 0, 18, 22, 80
"d:\FIXXUP\Angular-FIXXP-\src\app\society-upload-logo\society-upload-logo.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"d:\FIXXUP\Angular-FIXXP-\src\app\society-upload-logo\society-upload-logo.component.ts", "TypeScript", 127, 0, 0, 0, 23, 150
"d:\FIXXUP\Angular-FIXXP-\src\app\society\society.component.css", "CSS", 0, 0, 171, 866, 16, 1053
"d:\FIXXUP\Angular-FIXXP-\src\app\society\society.component.html", "HTML", 0, 601, 0, 16, 33, 650
"d:\FIXXUP\Angular-FIXXP-\src\app\society\society.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"d:\FIXXUP\Angular-FIXXP-\src\app\society\society.component.ts", "TypeScript", 207, 0, 0, 6, 35, 248
"d:\FIXXUP\Angular-FIXXP-\src\app\societysearch\societysearch.component.css", "CSS", 0, 0, 16, 0, 4, 20
"d:\FIXXUP\Angular-FIXXP-\src\app\societysearch\societysearch.component.html", "HTML", 0, 50, 0, 0, 1, 51
"d:\FIXXUP\Angular-FIXXP-\src\app\societysearch\societysearch.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"d:\FIXXUP\Angular-FIXXP-\src\app\societysearch\societysearch.component.ts", "TypeScript", 20, 0, 0, 0, 9, 29
"d:\FIXXUP\Angular-FIXXP-\src\app\stamp-paper\stamp-paper.component.css", "CSS", 0, 0, 355, 465, 93, 913
